守护神之绝境营救; 评分: 暂无评分
芳龄十六; 评分: 暂无评分
黑寡妇; 评分: 4.8
恐怖; 评分: 4.7
小猪佩奇过大年; 评分: 5.7
环太平洋; 评分: 8.7
湄公河行动; 评分: 9.3
阿修罗; 评分: 6.4
哥斯拉; 评分: 6.8
比卡丘之捉迷藏; 评分: 暂无评分
超人、蜘蛛侠或蝙蝠侠; 评分: 暂无评分
精灵宝可梦：波尔凯尼恩与机巧的玛机雅娜; 评分: 8.4
代号·反抗; 评分: 暂无评分
小偷家族; 评分: 8.0
终结者：黑暗命运; 评分: 暂无评分
邪不压正; 评分: 7.4
冰雪奇缘：生日惊喜; 评分: 9.0
七月与安生; 评分: 8.7
速度与激情; 评分: 6.7
釜山行; 评分: 9.0
魔兽; 评分: 9.0
狂暴巨兽; 评分: 8.9
我的世界; 评分: 暂无评分
X战警2; 评分: 8.3
金刚狼2; 评分: 8.4
神探蒲松龄; 评分: 7.8
泰坦尼克号2; 评分: 3.4
疾速特攻; 评分: 8.1
老男孩; 评分: 8.7
叶问外传：张天志; 评分: 9.0
机甲战神孙悟空; 评分: 暂无评分
李茶的姑妈; 评分: 7.9
嗝嗝老师; 评分: 9.3
东北往事之破马张飞; 评分: 7.2
三重威胁之跨国大营救; 评分: 8.0
风再起时; 评分: 暂无评分
好莱坞往事; 评分: 暂无评分
敢死队4; 评分: 暂无评分
追钱逗爱熊仁镇; 评分: 暂无评分
王牌特工：大博弈; 评分: 暂无评分
前任; 评分: 6.1
名侦探柯南特典：怪盗基德诞生的秘密; 评分: 暂无评分
北斗风云; 评分: 暂无评分
蝙蝠侠：黑暗骑士崛起; 评分: 8.9
七龙珠：赛亚人传说; 评分: 6.6
深海危机; 评分: 暂无评分
风林火山; 评分: 暂无评分
天国之渡; 评分: 暂无评分
命运之夜——天之杯3：春之歌; 评分: 暂无评分
侏罗纪世界; 评分: 9.1
影; 评分: 8.1
奥特曼vs假面骑士; 评分: 7.5
欲念游戏; 评分: 5.5
把哥哥退货可以吗; 评分: 8.3
昨日青空; 评分: 8.5
无敌破坏王2：大闹互联网; 评分: 8.8
超人：钢铁之躯; 评分: 8.6
驯龙高手; 评分: 9.0
德鲁大叔; 评分: 9.1
照相师; 评分: 8.1
原来如此; 评分: 暂无评分
哈利·波特与魔法石; 评分: 9.1
闪电侠; 评分: 暂无评分
捕捉阿凡达; 评分: 8.3
无疯也起浪; 评分: 暂无评分
死侍：危险行为; 评分: 8.2
长城; 评分: 8.4
愤怒的小鸟2; 评分: 暂无评分
碟中谍7; 评分: 暂无评分
大黄蜂2; 评分: 暂无评分
醒来之爱的呼唤; 评分: 暂无评分
忌日快乐; 评分: 8.3
建国大业; 评分: 7.9
